repo	stars	n_revisions	first_rev	last_rev	repo_pushed	changelog_revisions	lag_days
openclaw/openclaw	389346	100	2026-08-30	2026-09-10	2026-09-10	100	0
affaan-m/ECC	255634	100	2026-08-10	2026-09-10	2026-09-10	12	0
NousResearch/hermes-agent	244101	100	2026-08-06	2026-09-04	2026-09-10	5	6
deepseek-ai/deepseek-harness	218764	100	2026-08-30	2026-09-09	2026-09-10	0	1
n8n-io/n8n	203922	37	2026-08-03	2026-09-10	2026-09-10	100	0
Significant-Gravitas/AutoGPT	187244	6	2025-05-22	2026-04-06	2026-09-10	0	157
ollama/ollama	180565	1	2026-06-07	2026-06-07	2026-09-09	0	94
firecrawl/firecrawl	178659	1	2026-06-13	2026-06-13	2026-09-10	0	89
f/prompts.chat	169856	2	2025-12-13	2025-12-27	2026-09-09	0	256
langgenius/dify	155326	19	2026-03-05	2026-09-05	2026-09-10	0	5
langchain-ai/langchain	146069	31	2026-04-21	2026-09-04	2026-09-10	0	6
github/spec-kit	134524	71	2026-06-29	2026-09-10	2026-09-10	100	0
DietrichGebert/ponytail	134327	6	2026-06-12	2026-07-10	2026-09-07	0	59
Comfy-Org/ComfyUI	132339	12	2026-07-02	2026-08-31	2026-09-10	0	10
microsoft/generative-ai-for-beginners	119480	3	2025-10-03	2026-07-14	2026-09-10	2	58
Graphify-Labs/graphify	116595	1	2026-04-14	2026-04-14	2026-09-09	100	148
browser-use/browser-use	114040	14	2025-11-15	2026-07-30	2026-09-10	0	42
supabase/supabase	109024	1	2026-09-03	2026-09-03	2026-09-10	0	7
addyosmani/agent-skills	93337	10	2026-02-15	2026-07-09	2026-09-08	0	61
vllm-project/vllm	91421	14	2026-04-10	2026-08-20	2026-09-10	0	21
infiniflow/ragflow	90446	16	2026-07-05	2026-09-07	2026-09-10	0	3
OpenHands/OpenHands	87223	100	2026-08-24	2026-09-09	2026-09-10	2	1
koala73/worldmonitor	85969	100	2026-08-16	2026-09-10	2026-09-10	39	0
lobehub/lobehub	82373	48	2026-07-25	2026-09-09	2026-09-10	100	1
bytedance/deer-flow	82204	26	2026-08-14	2026-09-02	2026-09-10	35	8
netdata/netdata	80474	41	2026-09-06	2026-09-10	2026-09-10	100	0
microsoft/ai-agents-for-beginners	74351	8	2025-10-03	2026-09-01	2026-09-10	4	9
thedaviddias/Front-End-Checklist	74090	4	2026-05-29	2026-06-02	2026-08-14	2	73
ruvnet/ruflo	71924	26	2026-02-07	2026-07-29	2026-09-10	67	43
career-ops-hq/career-ops	70967	96	2026-08-26	2026-09-05	2026-09-10	31	5
code-yeongyu/oh-my-openagent	68885	100	2026-08-24	2026-09-04	2026-09-10	39	6
microsoft/AI-For-Beginners	68343	1	2025-10-03	2025-10-03	2026-09-04	0	336
openinterpreter/openinterpreter	68291	75	2026-06-06	2026-07-08	2026-09-09	16	63
docling-project/docling	66242	3	2026-05-08	2026-07-31	2026-09-10	100	41
stablyai/orca	65672	44	2026-08-25	2026-09-10	2026-09-10	0	0
localstack/localstack	65120	1	2025-12-22	2025-12-22	2026-03-23	41	91
mem0ai/mem0	65066	21	2026-06-13	2026-09-08	2026-09-10	0	2
ZhuLinsen/daily_stock_analysis	64887	15	2026-03-17	2026-06-21	2026-09-06	11	77
gsd-build/get-shit-done	64564	1	2026-05-16	2026-05-16	2026-05-31	100	15
diegosouzapw/OmniRoute	63903	100	2026-09-01	2026-09-10	2026-09-10	100	0
